"","voted","sex","age","unit","weight","race","educ"
"219",1,1,"(49,59]",0,3507.417,1,2
"220",1,0,"(49,59]",0,3789.2961,1,2
"221",0,0,"(0,29]",0,4556.9031,1,1
"222",0,0,"(0,29]",0,5277.7296,1,1
"223",0,0,"(79,100]",0,3029.1875,1,2
"224",NA,0,"(0,29]",0,7642.9769,NA,NA
"225",NA,1,"(0,29]",0,8689.3064,NA,NA
"226",1,1,"(29,39]",0,4134.993,1,2
"227",1,1,"(49,59]",0,5446.7413,2,0
"228",0,0,"(0,29]",0,6974.4714,2,0
"229",NA,0,"(59,69]",0,3229.5273,1,1
"230",NA,0,"(49,59]",0,3307.3392,1,1
"231",0,1,"(0,29]",0,7199.2547,2,2
"232",0,0,"(0,29]",0,5459.6211,2,1
"233",1,1,"(39,49]",0,3407.6225,1,2
"234",1,0,"(39,49]",0,4325.277,1,2
"235",1,1,"(29,39]",0,2986.9156,1,2
"236",1,0,"(39,49]",0,2704.3682,1,2
"237",1,0,"(29,39]",0,3635.0379,1,2
"238",1,1,"(29,39]",0,2966.4388,1,2
"239",0,0,"(39,49]",0,4325.277,1,1
"240",0,1,"(39,49]",0,4104.1339,1,1
"241",0,0,"(0,29]",0,5277.7296,1,0
"242",1,1,"(69,79]",0,3100.8874,1,2
"243",1,0,"(29,39]",0,4995.8041,4,2
"244",1,1,"(29,39]",0,2658.4106,1,2
"245",1,0,"(49,59]",0,3432.3518,1,2
"246",1,1,"(29,39]",0,4168.7301,1,1
"247",0,0,"(29,39]",0,4315.2415,1,0
"248",1,0,"(39,49]",0,3136.4186,3,0
"249",1,0,"(39,49]",0,3136.4186,3,NA
"250",1,1,"(49,59]",0,3379.0987,1,2
"251",1,0,"(49,59]",0,3256.1816,1,2
"252",0,0,"(0,29]",0,2954.9613,1,1
"253",1,1,"(0,29]",0,3478.4745,1,0
"254",1,1,"(49,59]",0,3507.417,1,2
"255",1,0,"(49,59]",0,3789.2961,1,2
"256",1,0,"(0,29]",0,5277.7296,1,1
"257",NA,1,NA,0,4438.4115,NA,2
"258",NA,0,NA,0,4087.1731,NA,1
"259",1,1,"(69,79]",0,3580.0702,2,0
"260",NA,0,NA,0,4474.2357,NA,NA
"261",NA,1,NA,0,4721.8363,NA,NA
"262",1,0,"(0,29]",0,3595.8051,1,0
"263",1,0,"(49,59]",0,3307.3392,1,0
"264",1,1,"(0,29]",0,4899.847,1,1
"265",NA,0,"(39,49]",0,3854.0766,1,0
"266",0,1,"(0,29]",0,4005.9534,1,1
"267",0,0,"(29,39]",0,4808.0739,2,1
"268",0,0,"(29,39]",0,5413.3294,2,1
"269",1,1,"(49,59]",0,3622.2141,1,2
"270",0,1,"(0,29]",0,3760.6552,1,2
"271",0,1,"(29,39]",0,3051.4336,1,1
"272",0,0,"(29,39]",0,2871.5379,1,2
"273",1,1,"(39,49]",0,3040.3614,3,1
"274",0,1,"(39,49]",0,3724.9968,1,2
"275",1,0,"(49,59]",0,3691.7859,1,2
"276",1,1,"(0,29]",0,5031.2308,2,2
"277",1,1,"(29,39]",0,2814.2229,1,2
"278",0,1,"(49,59]",0,3214.1344,4,2
"279",0,1,"(49,59]",0,3214.1344,4,2
"280",0,1,"(69,79]",0,3418.9698,1,1
"281",0,0,"(39,49]",0,4045.9365,1,1
"282",0,1,"(39,49]",0,3261.3906,1,2
"283",1,1,"(49,59]",0,3471.9036,1,1
"284",1,0,"(0,29]",0,3595.8051,1,2
"285",1,1,"(49,59]",0,3605.7024,1,2
"286",0,0,"(0,29]",0,5415.437,2,0
"287",NA,0,"(0,29]",0,5415.437,2,2
"288",1,0,"(0,29]",0,6432.2939,2,0
"289",NA,0,"(0,29]",0,6432.2939,2,0
"290",1,0,"(49,59]",0,4213.2842,3,2
"291",1,1,"(69,79]",0,2980.5893,1,NA
"292",0,0,"(0,29]",0,4380.2358,1,2
"293",1,0,"(29,39]",0,4517.7647,1,2
"294",NA,1,NA,0,3205.9446,1,NA
"295",NA,0,"(29,39]",0,4399.188,4,0
"296",NA,1,"(29,39]",0,3849.6381,4,0
"297",0,1,"(29,39]",0,2658.4106,1,1
"298",NA,1,"(29,39]",0,2658.4106,1,0
"299",0,1,"(39,49]",0,3144.8139,1,0
"300",0,0,"(49,59]",0,3404.5742,1,0
"301",1,0,"(39,49]",0,4042.2076,4,2
"302",1,1,"(39,49]",0,3576.0891,4,2
"303",NA,0,"(49,59]",0,3574.501,2,2
"304",NA,1,"(39,49]",0,4356.6622,2,0
"305",NA,0,"(0,29]",0,4325.8915,2,0
"306",1,0,"(59,69]",0,3556.682,NA,NA
"307",1,0,"(0,29]",0,4380.2358,1,2
"308",1,0,"(29,39]",0,4938.5337,1,2
"309",1,1,"(29,39]",0,4063.2127,1,2
"310",1,1,"(29,39]",0,2818.0014,1,2
"311",1,0,"(29,39]",0,3415.1685,1,2
"312",1,0,"(79,100]",0,3360.6473,1,2
"313",NA,1,"(0,29]",0,3395.8352,1,0
"314",1,0,"(79,100]",0,3804.9997,1,1
"315",1,1,"(79,100]",0,3418.9698,1,1
"316",1,1,"(59,69]",0,3232.3382,1,2
"317",1,0,"(59,69]",0,3707.9148,1,2
"318",1,1,"(29,39]",0,6925.1294,2,NA
"319",0,0,"(0,29]",0,3726.7624,1,0
"320",0,0,"(0,29]",0,3126.0394,3,0
"321",0,0,"(0,29]",0,3726.7624,1,0
"322",1,1,"(69,79]",0,3427.2976,4,0
"323",1,0,"(69,79]",0,2961.7609,4,0
"324",NA,1,"(0,29]",0,3314.583,1,2
"325",1,1,"(59,69]",0,3363.1364,1,2
"326",1,0,"(69,79]",0,3132.5185,1,2
"327",0,1,"(69,79]",0,3893.1029,4,0
"328",1,1,"(69,79]",0,2980.5893,1,0
"329",1,0,"(69,79]",0,3509.2088,1,0
"330",1,0,"(49,59]",0,4023.0494,1,2
"331",0,1,"(69,79]",0,2980.5893,1,2
"332",1,0,"(49,59]",0,3861.0311,4,0
"333",1,1,"(0,29]",0,4171.6746,4,1
"334",1,1,"(29,39]",0,2938.098,1,2
"335",1,0,"(29,39]",0,3118.7258,1,2
"336",0,0,"(39,49]",0,4216.1763,2,0
"337",NA,0,"(0,29]",0,7261.3164,2,0
"338",1,1,"(69,79]",0,3850.4188,2,1
"339",1,1,"(69,79]",0,3362.2609,1,2
"340",0,0,"(79,100]",0,3482.9338,1,2
"341",1,1,"(29,39]",0,3190.449,1,2
"342",1,0,"(29,39]",0,3909.5373,1,2
"343",1,1,"(39,49]",0,4159.7519,2,1
"344",1,0,"(0,29]",0,6432.2939,2,1
"345",1,0,"(39,49]",0,3826.2368,2,0
"346",0,1,"(29,39]",0,3063.9529,1,2
"347",1,0,"(29,39]",0,2669.9193,1,1
"348",1,1,"(29,39]",0,3398.2649,3,2
"349",1,1,"(0,29]",0,8219.0819,3,1
"350",NA,1,"(0,29]",0,4899.847,1,0
"351",1,0,"(0,29]",0,4711.0087,1,2
"352",1,1,"(0,29]",0,3601.3445,4,1
"353",1,1,"(39,49]",0,4590.6204,2,1
